timestamp,open,high,low,close
1659052800,1725.257783782584,1765.0992600638533,1659.8511305886939,1724.72291250507
1658966400,1636.3954063940648,1781.0185638199496,1601.0014991361454,1726.1809874117353
1658880000,1449.8261631784453,1641.3065590743774,1421.5125352127477,1638.1685011677134
1658793600,1440.5195470775332,1445.969990839652,1360.0685463329478,1445.969990839652
1658707200,1597.9416534726706,1607.3922384021068,1438.586371677737,1438.586371677737
1658620800,1549.1713863488992,1660.7464409036006,1548.0058844448574,1598.043374297202
1658534400,1535.7188268991604,1596.2720906392458,1491.4243468621155,1549.6017675898856
1658448000,1575.6924154210574,1642.8202794698589,1520.9622201692632,1537.7971730168574
1658361600,1522.0471126523823,1599.8816102578157,1464.4657058281257,1575.9180231607863
1658275200,1542.5820380458833,1614.4388195288245,1496.020626061831,1517.9234870701764
1658188800,1581.5556046624185,1624.265174989632,1493.6837381350138,1543.2970387020457
1658102400,1338.2095222915507,1586.1080790572175,1336.9272948742596,1586.1080790572175
1658016000,1355.8462170966113,1381.8567157803864,1325.5069357136736,1335.0994467906048
1657929600,1231.092020213364,1384.170213047164,1192.9120564740808,1353.0020191330348
1657843200,1192.6062900504553,1282.9431177793606,1181.6824398356036,1231.7984733883595
1657756800,1114.6138976460325,1209.3770310070145,1073.6560418798158,1192.247318666498
1657670400,1037.2319434055335,1116.1396107215471,1011.2329353735203,1116.1396107215471
1657584000,1095.5819856261926,1096.5267242714722,1035.2713489751118,1035.2713489751118
1657497600,1167.6950700411435,1170.040180316866,1091.9278998451246,1095.3967177622726
1657411200,1216.7478840575204,1218.6528792543943,1156.0030209255049,1167.5918524559067
1657324800,1213.423547018803,1229.924476325197,1204.8263200978656,1217.503958727564
1657238400,1237.0640321769883,1273.7085107762325,1192.571498544814,1213.1091077907465
1657152000,1185.5,1251.6771646781576,1162.92246673,1238.6367414149088
1657065600,1131.3835708745028,1199.13242945,1111.7370514249683,1185.80375783
1656979200,1150.1098645335167,1168.5718559848785,1078.3949700714263,1132.7214562566924
1656892800,1073.1793040084635,1154.1879769446784,1045.2272793433024,1151.6919291569782
1656806400,1065.5713198712383,1084.7780347074902,1040.6547567515674,1073.5936477183423
1656720000,1057.8832421527834,1075.8135912239998,1028.8081877123789,1065.4282760062467
1656633600,1070.136728953411,1107.3355182330583,1036.8070472402055,1053.95664042261
1656547200,1097.890918184621,1104.5304449895996,1004.9626489460081,1067.3092345111006
1656460800,1142.6642135436614,1153.7441770720054,1087.3572652317516,1097.8013677245642
1656374400,1191.0880127071046,1231.0960700922926,1138.3266801089646,1143.111406796402
1656288000,1198.0411209958347,1236.9377437611586,1176.9725625940926,1192.408955055105
1656201600,1241.357825765296,1274.8808158391578,1197.1457623977851,1198.5156301744798
1656115200,1224.2109732543036,1250.472498586483,1180.8579109029722,1244.5784939497228
1656028800,1143.7601713031377,1243.308206216454,1131.4316498839778,1223.781443434225
1655942400,1048.6991576993391,1149.5936302116736,1048.6991576993391,1145.228401603809
1655856000,1123.778424379642,1124.630636713899,1042.9470738896014,1048.2016878764036
1655855940,1124.5109238106666,undefined,undefined,undefined
1655769600,1126.8976986714067,1187.9397121890267,1109.3648986257565,1122.9420315117202
1655683200,1126.05,1135.3106741867784,1070.66,1127.2296132349302
1655683080,1127.25,undefined,undefined,undefined
1655596800,990.71,1151,937.81,1125.73
1655596740,995.96,undefined,undefined,undefined
1655510400,1085.76,1096.01,884.56,991.39
1655510220,1085,undefined,undefined,undefined
1655424000,1064.75,1113.11,1052.31,1086.5
1655423940,1064.57,undefined,undefined,undefined
1655337600,1236.65,1253.34,1052.27,1065.4
1655337540,1237.9378792056095,undefined,undefined,undefined
1655251200,1207.58,1241.84,1016.31,1236.7563441601342
1655164800,1207.82,1251.09,1080.9312334160531,1211.95
1655164680,1204.0744303015465,undefined,undefined,undefined
1655078400,1433.19,1449.49,1169.17,1204.596897948392
1654992000,1529.35,1540.484192596512,1430,1437.7262569172265
1654991940,1528.7548115453453,undefined,undefined,undefined
1654905600,1660.5,1680.5318070184703,1501.8128296657578,1526.9
1654905540,1661.0000000000002,undefined,undefined,undefined
1654819200,1786.4344739856238,1800.0468661092468,1655.3699999999997,1661.0508503224592
1654819140,1787.6200196630143,undefined,undefined,undefined
1654732800,1790.72,1829.9919378183595,1777.178477790745,1788.74
1654646400,1812.4613627114727,1834.268465197099,1766.1634781763125,1792.9697183836856
1654560000,1858.4255427243559,1868.1141674915154,1727.6654355571777,1812.3059873043146
1654473600,1805.0557647976234,1917.058332519362,1803.9041892838454,1858.8300827030803
1654387200,1803.6294722978755,1828.6689285134964,1774.9274556833661,1803.9887736057417
1654300800,1773.8039671717986,1812.7755926459886,1747.9810455856925,1802.2904975885594
1654214400,1833.0195624273424,1841.756356698873,1739.654969672585,1773.4180580068044
1654214340,1832.6942892216762,undefined,undefined,undefined
1654128000,1817.6300059408688,1848.6083507883036,1783.5236648528232,1833.38899225164
1654041600,1940.573265999242,1968.0554837844986,1772.0146265364356,1819.7928936887158
1654041540,1938.1451626702576,undefined,undefined,undefined
1653955200,1998.3717731916577,2011.2465624406884,1927.9031214198715,1938.0697577626775
1653955140,1999.7935237176698,undefined,undefined,undefined
1653868800,1811.0909382888926,2009.3175200841836,1801.5913046385842,1995.9571945130378
1653782400,1790.1874553273594,1822.9062920657475,1763.991491514957,1812.782662918136
1653782340,1790.1276150182198,undefined,undefined,undefined
1653696000,1726.926152141354,1804.6240804027198,1720.4627800897279,1791.9571943214783
1653695940,1721.922940307743,undefined,undefined,undefined
1653609600,1790.9736942679383,1818.814584289604,1711.3950813603808,1721.1592096261115
1653609540,1787.8067892739575,undefined,undefined,undefined
1653541380,1934.9291273931108,undefined,undefined,undefined
1653523200,1934.9291273931108,1941.9875507400093,1747.5587038367194,1796.249426088412
1653436800,1978.15,2016.1899999999998,1940.06,1962.08
1653436620,1976.51,undefined,undefined,undefined
1653350400,1975.13,1990.83,1912.63,1978.4900000000002
1653350340,1970.27,undefined,undefined,undefined
1653264000,2037.4700000000003,2083.61,1957.44,1971.12
1653263940,2040.51,undefined,undefined,undefined
1653177600,1974.19,2049.12,1963.9,2045.84
1653177540,1973.73,undefined,undefined,undefined
1653091200,1956.7643723038905,1986.98,1936.26,1974.1499999999999
1653004800,2017.57,2055.6611937982034,1921.1900000000003,1959.3000000000002
1652918400,1912.0211657570683,2037.88,1901.52,2019.2142415664157
1652832000,2088.96,2105.6393069374376,1910.1675458150878,1910.1675458150878
1652745600,2020.6468019422357,2118,2010.767296034915,2089.4717554992912
1652659200,2142.69,2142.69,1983.2,2017.591974816357
1652572800,2054.0498603124593,2156.38263557957,2001.7878102470409,2143.3937025674654
1652486400,2006.5767017297878,2062.7489390114824,1949.1551372065408,2054.222697049186
1652400000,1954.3690593021345,2143.927880326978,1938.491390089164,2008.9013701074534
1652313600,2079.382456801796,2182.540433086965,1722.36926954477,1956.617867764764
1652227200,2340.5115318393246,2447.9925456998008,2000.645839662516,2064.3
1652140800,2228.4723704016005,2456.4307023795145,2202.948591899543,2342.8808479452578
1652054400,2519.4049346623556,2528.2900338748827,2227.008972041396,2234.5610485233133
1651968000,2634.805943015932,2639.904528328017,2492.000116172197,2520.266177690356
1651967940,2634.993923614711,undefined,undefined,undefined
1651881600,2692.1575592026848,2701.771948742392,2593.475452535282,2636.3604005838597
1651881540,2692.888759545762,undefined,undefined,undefined
1651795200,2745.485214511312,2756.775574585838,2634.596282716803,2693.092196465028
1651795140,2747.450612167677,undefined,undefined,undefined
1651708800,2940.26872357461,2951.6260541633083,2701.151454173864,2748.5504657049273
1651708740,2939.570848270164,undefined,undefined,undefined
1651622400,2780.5579870804145,2961.915013056008,2772.8599648913264,2940.3712164626613
1651622340,2780.080070697177,undefined,undefined,undefined
1651536000,2855.0381859242407,2861.4428851711928,2758.1429753329435,2781.695546962
1651535940,2856.2046991255265,undefined,undefined,undefined
1651449600,2825.2216036453506,2880.8638630502173,2782.654842089247,2857.283630461652
1651363200,2726.8007592228396,2846.298176921404,2726.594353531348,2823.892489713571
1651276800,2817.305516292124,2840.5615413243363,2722.756240478216,2726.695069962875
1651276740,2815.5018094040465,undefined,undefined,undefined
1651190400,2935.910511336029,2945.3724608030607,2777.7886288095615,2816.59302943815
1651104000,2883.687632153008,2977.677490628178,2856.365946711058,2939.3478045259562
